Description,Title,URL,Compensation,Address,Employment Type
"Ibsecad is a International company that has a successful office in New York and are currently looking to recruit a permanent Graduate/Trainee (CAD/BIM) Draftsman to join its expanding team. 

Ibsecad will offer full training schemes within the company and the position available will involve and train you in some of the following tasks; Problem solving, Team and Project management, Lead Co-ordination, Workshop drawings, 3D & 2D drawing production, site surveys, office/site work and building client relations. 

Applicants should possess some of the following... - Good communication skills - Good CAD skills (AutoCAD/Revit 2010 or higher) - Office Software skills (Word, Excel etc) - Problem solving mindset - Ability to work in a team and or alone - Basic Building Services knowledge is advantageous. Due to project requirements we are seeking to employ U.S. Citizens only.

Start date to be discussed upon interview.

For more information go to Ibsecad.net",Graduate/Trainee (CAD/BIM) Draftsman,https://newyork.craigslist.org/mnh/egr/6073721020.html,Based on experience,Midtown,full-time
"The Candidate Must have experience with Autocad 
aSa and Microstation Experience Helpful. 

Knowledge of  MS Office
Must be able to produce Shop Drawings Reinforced Details from Structural Drawings.
Must be familiar with Architectural and Structural Drawings, Shop Drawings, Sketches, RFIs and plotting them whole or partially 
Knowledge of Extracting and Checking Rebar Data from Shop Drawings for Column, Shear Wall and Slab 
Must be able to communicate with Structural Engineer to get answers on how to solve Technical Issues 
Practical Fields Work Experience is helpful.

Location:  Hillside NJ
Submit resumes with Salary Requirements.",REBAR DETAILER ENGINEER,https://newyork.craigslist.org/jsy/egr/6073843159.html,Rebar Detailer Engineer (Hillside NJ),Hillside NJ,full-time
"We are a small interior design and architectural studio doing a vast amount of interesting projects throughout NYC and getting into more outside NY.

I am looking for someone who would have fun working on different types of projects, which would mean a jumping in where needed.  Applicant must have a good eye for style as we will be setting up apartments for clients and photoshoot.  Applicant must have a high level knowledge of AutoCAD and Sketchup to assist in producing construction drawings and details for millwork.

Position is full time, again as mentioned above, applicant must not be afraid of getting their hands dirty being on constructions sites or moving furniture around for our clients.

Please email your resume and drawing samples and why you would be a good fit.

Thanks in advance!",Design Assistant - Architecture & Interior,https://newyork.craigslist.org/mnh/egr/6074025347.html,15,Upper East Side,contract
"37 person Westchester architectural firm with diverse range of projects is seeking an experienced architectural designer or Registered Architect with extensive residential experience. Job responsibilities will include:
- Architectural design .
- Construction documentation.
- Coordinate between in-house team and outside specialty consultants.
- Construction administration phase work.

- Bachelors of Architecture degree with min. 5 years of architectural experience required.
- Strong knowledge and experience with AutoCAD.
- Good report and technical writing skills desired.
- Good interpersonal skills.",Project Architect,https://newyork.craigslist.org/wch/egr/6074076533.html,"salary, holidays, 8 days PTO, two weeks vacation, medical, 401k",White Plains,full-time
"Estimating Department Manager
Good planning and organization skills, well developed interpersonal and communication skills including written and verbal.  Maintain a professional appearance and manner.  Be a team leader and player with the ability to work well and interface with all departments.  You place a high emphasis on leadership and the training of your direct reports.

This position is critical to the Company since you are the first contact with the customer us.  Request for Bid are sent directly to the Estimating Manager who will start the project. We require an individual with a great attention to detail and someone who can provide a quick response to our customer.

Overall Responsibilities:
•	Responsible for overseeing day to day operations of the estimating department(4-6 reports)
•	Experience with Architectural Metals and Glass
•	Manage the updating of systems with Bid information/dates
•	Experience with Construction software programs
•	Assign bids to estimators 
•	Work closely with each estimator to ensure that the project is being priced correctly
•	Monitor estimators to ensure bids are completed prior to bid due date
•	Check completeness & accuracy of estimates and make comparisons against prior bids/estimates and project records
•	Work with general contractors on value engineering and budgeting of projects
•	Work with sales team on contract negotiations and buyouts for incoming projects
•	Ensure that project managers have all estimating notes/proposals once project becomes active
•	Work with project management team to confirm the estimated job costs are accurate
•	Manage and implement the overall training process of direct reports so that they follow proper department processes using proper tools and systems.
•	Establish employee and departmental measurements, monitors performance, and regularly meets with staff to monitor improvements

Qualifications
• Engineering or Construction related degree preferred, but will consider a significant metal and glass       industry experience as a substitute
• Certification or trade background with subsequent experience
• Advanced knowledge of estimating strategies and techniques
• Thorough understanding of construction, contracts and terminology
• Minimum of 5 years' experience in estimating, proposals, project execution or business development, preferably in the Glass and architectural metals construction industry
• Exposure to Project Management a plus

SOFTWARE EXPERIENCE 
• Construction and Project Management Software experience
• Bluebeam Editing Software
• MS Office - Word, Excel, Vision and PowerPoint",Estimating Manager,https://newyork.craigslist.org/lgi/egr/6074248129.html,Please send salary requirement,,full-time
"AEIS is a premier engineering inspection services and construction materials testing company in NY Metro Area. We are looking to supplement our Inspection Team.

AEIS is an Equal Opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, age, disability, veteran status or other protected category. E-verify and federal drug-free work place compliant.

JOB FUNCTIONS include, but are not limited to:
Perform Field Observations and Materials Sampling/Testing during Construction of Buildings, Bridges and Roadways.

Cast Field Samples of Concrete, Masonry, Grout, etc. for strength verification.
Perform Concrete Construction Special Inspections (CCSI) for Concrete placement, Rebar, formwork, temperature monitoring, formwork removal (verify for honeycombing), Anchor pull tests.
Perform testing on construction materials including, Soils, Reinforcing Steel, Concrete, Masonry, Structural Steel, Fireproofing, Metal Decking, Roofing and Paving.
Write Daily Field Reports documenting work performed by the various contractors and indicating compliance/non-compliance with contract documents.

Provide Daily Phone Calls to Department Manager to inform of Daily progress of the project.
Pick-up construction material samples and deliver to laboratory, deliver equipment to site technicians.
 
POSITION REQUIREMENTS:	
Work Environment: When hired as a field technician at AEIS you will work on active construction sites and perhaps in a soils/concrete testing laboratory. You will get dirty and be exposed to outside weather conditions. We will supply the equipment you need and provide training. 

PHYSICAL REQUIREMENTS:
This position requires long term standing and perhaps repetitive motions. You must have the ability to use your hands to handle, finger or feel; reach, climb or balance; crouch, stoop, crawl, kneel and sit. You must have the ability to see and smell; including close, distance and peripheral vision, depth vision and ability to focus. You may be required to drive hundreds of miles per day. Lifting -- You will regularly lift/move/shake up to 40 pounds; frequently lift and/or move up to 60-80 pounds; and occasionally move more than 100 pounds [such as a loaded wheelbarrow of concrete samples].

QUALIFICATIONS:
A minimum of a high school diploma or GED equivalent required.
BSCE graduates with EIT's will be considered.
0-3 years of experience.
Basic math skills.
Strong oral and written communication skills; ability to communicate in English.
Ability to read maps, follow directions, and interpret engineering and construction plans.

Technician Certification [minimum] - We need both ACI1 and ACI2/ CCSI/ ICC Certified Inspectors. Multiple positions available. Additional certifications in Radiation safety for nuclear density gauge, ICC Soil certification are desired. All three certifications are required within 90 days of hire.

Notes: Please indicate your compensation expectations [$$/hour] when applying to this posting. 

BENEFITS:  
We offer a comprehensive benefits package.

AEIS is committed to providing a diverse, drug-free work place. We respect hard work and honesty in our employees. We provide ample industry related training, comprehensive benefits and a broad range of career opportunities. Random and post-incidence drug screening is undertaken on most of our projects.

YOUR FUTURE AT AEIS  AWAITS!!  Our greatest asset is our people.  This includes people like you!  We are actively seeking motivated individuals to work on a wide range of exciting and challenging projects. Apply today and join the AEIS family!

SEND YOUR RESUMES TO ""jobs@aeisndt.com"" and include salary expectations.",CONCRETE INSPECTORS (ACI1 AND ACI2),https://newyork.craigslist.org/que/egr/6073924479.html,to be discussed,"Queens, NY",full-time
"Reputable boutique development company is looking for a well-rounded Construction Administrator (""CA"").   The position requires a highly professional individual to perform administrative support duties.
 
Skills Required:

1.	Must have a strong understanding of construction sequencing and means and methods.
2.	Must be proficient in architectural plans, budgets, construction contracts, DOB regulations and specifications. 
3.	Design background is a plus.  Monitor and schedule orders of fixtures and building supplies, research materials, qualifying vendors and subcontractors.  
4.	Must have strong interpersonal skills to utilize when dealing with all types of government agencies, architects, engineers, subcontractors and vendors.
5.	Must have strong negotiation skills.
6.	Must have minimum of 5 years hands-on experience in high-end residential construction or residential development projects.
7.	Must be able to handle multiple assignments with a high emphasis on detail, positive and action-oriented, and possess strong interpersonal skills.",Construction Administrator Needed,https://newyork.craigslist.org/brk/egr/6073872919.html,Depends on experience,Brooklyn,full-time
"Leslie E. Robertson Associates (LERA), an award winning and innovative structural engineering firm providing design services for architects, developers, contractors and owners. Our long tradition of innovative design has brought us to the forefront of the structural engineering profession.  Headquartered in New York City, LERA also operates branch offices in Mumbai, India, Shanghai, China and Hong Kong.  

JOB DESCRIPTION
Full time CAD/ BIM Modeler for our New York office. The CAD/ BIM Modeler will be involved in developing detailed models and construction documents related to the structural engineering discipline. 

JOB RESPONSIBILITIES 
•  Developing detailed design drawings using Revit and AutoCAD software. 
•  Working with fellow CAD/ BIM Modelers in a supportive role on projects. 
•  Modifying drawings and 3D modeled elements based on Interpreted engineer's markups. 
•  Collaborating with staff structural engineers to layout or detail components and structural systems. 

REQUIREMENTS: 
•  Expert-level knowledge of Revit and AutoCAD software. 
•  Strong attention to detail with emphasis on organization. 
•  Knowledge of Microsoft office applications. 
•  Ability to work independently and under deadline pressure. 
•  Must be able to exercise independent judgment using technical knowledge. 
•  Good interpersonal skills and the ability to coordinate with others. 
•  Strong organizational skills and effective written/verbal communication abilities.  

PREFERENCES
•  Degree in an AEC-related discipline.
•  Desire to learn new programs related to the job responsibilities.  

ADDITIONAL INFORMATION
•  Please note that only US-based applicants will be considered. 
•  Please note that all selected candidates will be required to participate in Revit and AutoCAD hands-on ability testing sessions as part of the evaluation process.",CAD/BIM Modeler,https://newyork.craigslist.org/mnh/egr/6074257307.html,"Competitive salary commensurate with experience and a comprehensive benefits package including medical, dental, vision, life insurance, 401K plan, paid vacation, sick leave and more.  LERA is an Equal Opportunity Employer.",Financial District,full-time
"Project Manager - Department Manager

Oversight of the Project Managers and Department as the direct Manager. You need to organize, plan, communicate, and execute specific strategies for successful project completion.  You want to own the total accountability for financial aspects of projects including purchasing, resource management, and profitability. You understand that you will be responsible for mentoring and staff development of team members to create highly functional and interactive teams. You want to create and maintain relationships with clients to facilitate new project sales.  

The Department Manager is responsible for overseeing the department's multiple projects from start to finish in a timely and cost effective manner.  Must be organized, have computer skills, have excellent communication skills both verbal and written.  The PM Dept. Manager must have the ability to multitask, working closely between Estimating, Drafting and other departments with the goal of meeting deadlines.

Overall Responsibilities:

•	Responsible for success or failure of all active projects.
•	Experience with architectural metal and glazing 
•	Monitor the updating of systems of record with PM information/dates in Construction / Project Management software systems
•	Work closely between Estimating and Drafting to make sure that projects are being priced correctly and that shop drawings and take offs are accurate verifying with the GC and reporting/fixing problems
•	Oversee the PM's assigned projects from start to finish to ensure they are target
•	Know & understand allowable budget for each assigned project.
•	Review with individual PM's & understand the scope of work within each project.  
•	Read the Specifications & Architectural Drawings for each project.
•	Utilize construction/PM software to monitor the submittals, RFI's, change requests, drawing uploads, PO's, daily reports, & job costing to ensure budget and project deadlines are met.
•	Communicate with customer to discuss schedules, lead times, & turn over dates.
•	Review and oversee the created schedules that include start & completions dates.
•	Work with Drafting department to complete Shop Drawings & Submittals.
•	Ensure that the Submittals & shop drawings are approved by GC/Architect. 
•	Monitor and ensure that purchases of all materials are under budget & in time for each project.
•	Coordinate with assigned field supervisor to get field sizes & site conditions.
•	Coordinate fabrication requirements & timeframe with fabrication supervisor. 
•	Coordinate installation schedule with customer.  
•	Work with field supervisor during installation to ensure the project is getting completed on time & with good quality workmanship.
•	Create & completed punch list items with field supervisor.
•	Submit for record, Project close-outs/warranty.

Qualifications
• Minimum of 5 - 7 years as a Project Manager in architectural metals and glass environment.
• Ability to handle multiple tasks and personnel concurrently while working under pressure to 
  meet deadlines.
• Must be extremely organized and exhibit a high degree of attention to detail.
• Some college preferred
• PMP Certification a plus

SOFTWARE EXPERIENCE 
• Construction / Project Management Software experience
• Bluebeam Editing Software
• MS Office - Word, Excel, Vision and PowerPoint",Project Manager - Department Manager,https://newyork.craigslist.org/lgi/egr/6074235115.html,Please send salary requirement,,full-time
"The New York City office of WJE is seeking an Architectural CAD Technician for a full-time position to prepare CAD drawings for the repair and rehabilitation of structural, facade, roofing, and waterproofing systems.  The ideal candidate will have CAD expertise necessary to prepare preliminary and final structural and architectural drawings derived from rough layouts, verbal instructions, field notes, and sketches.  In addition to preparing construction drawings, the technician will also be responsible for managing the CAD system for the office and coordinating with other offices throughout WJE.

Wiss, Janney, Elstner Associates, Inc. (WJE) is a nationally recognized firm of materials scientists, engineers, and architects dedicated to providing practical, innovative, and technically sound solutions to problems in existing structures.

Requirements:

Minimum of three years of relevant work experience.
An Associate degree in Construction Technology, Drafting Technology or Computer-Aided Design and Drafting. Certification with equivalent experience will be considered.
Must demonstrate proficiency using Autodesk's AutoCAD Architecture 2014 and 2018.
Experience using AutoCAD Architecture's Sheet Set Manager to organize CAD projects preferred.
Must have current knowledge of industry design and drafting standards.
Must be detail oriented with effective written and verbal skills and be willing to travel and work at project sites.
Knowledgeable/Skilled with Adobe Acrobat or Blue Beam, Illustrator, and Photoshop.
Ability to use or desire/willingness to learn Revit, 3D Studio Max and Google SketchUp.

Responsibilities:

Drafting and development of drawing sets for internal/external review, construction/bidding, and permitting
Coordination of drawings sets with project managers and project associates
Coordination during company wide release of AutoCAD updates
Leading tutorials and updating the CAD operators in the office on advances and changes in Autodesk platform
Local travel to job sites
Training of new associate level staff
 

Key Competencies:

Energy and Enthusiasm - Consistently maintains high levels of activity and productivity; Candidate must be able to sustain long working hours when necessary while maintaining effectiveness, vigor and determination over extended periods of time.
Results oriented - Setting high goals for personal and group accomplishment while tenaciously working to meet or exceed those goals.
Attention to detail - Meticulous and quality oriented to ensure work is done right the first time.
Communication - Clearly conveying information to and from clients and co-workers.
Assumes Responsibility - Corrects problems proactively and not defensively. Takes action beyond normal responsibilities. Initiate and manage CAD operations for the office and coordinate with companywide initiatives and long term goals.


Physical Requirements:

The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. This position requires visual acuity and listening ability. Individuals must have the dexterity to be able to operate office and field equipment such as computer, printer, fax, copier, telephone, voice mail system, and other office and field equipment. Requirements may also include:

Ability to attend meetings at various office, field and construction sites
Ability to lift and carry materials and equipment up to 20 lbs.
Ability to perform work in the temperature extremes presented by work in the outdoors
Ability to read construction drawings, diagrams, printed materials and computer screens
Ability to travel
Ability to safely work at heights
Ability to understand and appreciate safety training specific to numerous workplace and construction hazards
Ability to safely work in a variety of occupationally hazardous locations
Medically fit to utilize respiratory protection devices and other forms of Personal Protective Equipment
Ability to drive and safely operate a motor vehicle

WJE is an Equal Opportunity Employer. We invite all qualified applicants to apply including individuals with disabilities, minorities, women, and protected veterans. (VEVRAA federal contractor)

WJE will consider qualified applicants with criminal histories in a manner consistent with the requirements of Fair Chance Ordinances.

Please visit WJE at www.wje.com to read more about our company, culture, services, people and projects.  You must apply online from the Careers page to receive consideration for this opportunity.  This opportunity is listed in location: New York.

 The direct link to the Opportunity:",Architectural CAD Technician,https://newyork.craigslist.org/mnh/egr/6074121271.html,"Competitive hourly rate, overtime eligible, 401k with company match",Mod-Town Manhattan,full-time
"Rybak Development and Construction is seeking an Architectural Visualization Artist to join our team in our brand new headquarters located on Emmons Avenue in the heart of the trendy area of Sheepshead Bay, Brooklyn.

The Architectural Visualization Artist should have a degree in Architecture or the Visual Arts and a desire to focus on architectural representation and visualization with a keen eye for composition and lighting quality. Help us visualize and communicate our designs with industry leading technology including: Revit, 3ds-Max, V-Ray, Lumion, Enscape, (Oculus supported) and Adobe Suites.

The candidate should demonstrate a strong command of high-end rendering techniques and postproduction with strong skills in Revit, 3ds Max, V-ray, and Photoshop. Lumion and Enscape a strong plus for Virtual Reality presentations. The ability to work and collaborate in a creative team environment is essential.

*Full Benefits Package Will Be Provided After 90 Days*

Minimum requirements:

Ideal Candidate Musts:
*Mastery of producing photo-realistic renderings
*Expertise in post production rendering skills
*Solid knowledge of producing animated renderings/short movies
*Strong graphic design skills, with ability to produce marketing and presentation material
*Web design skills a major plus
*Must be able to work under pressure with tight deadlines
*Must be a team player who is openly willing to take direction
*Must have strong character with confidence to hold their own with developers, architects, and other professionals.
*Must be open to working outside of business hours (Business Hours are 8AM-5PM)

Compensation will be based on experience and talent.

Please no phone calls or drop-in inquiries. Communication via email only. Applicants can send letters of interest, resumes, list of references, and work examples (limit 5MB) in PDF format to: bj@rybakdev .com

Job Type: Full-time

Salary: $50,000.00 to $60,000.00 /year",3D Architectural Artist/Renderer,https://newyork.craigslist.org/brk/egr/6074216159.html,50-60K Annually Plus Benefits,,full-time
"An Architectural Consulting Design and Expediting office is looking for a NYS Licensed Architect to review and consult on our projects. A great opportunity to become part of a knowledgeable team, experienced in many types of projects and designs.

We offer a flat fee rate on a per project basis or hourly / monthly rates. This is a part time / full time opportunity.",NYS Licensed Architect,https://newyork.craigslist.org/brk/egr/6074306060.html,TBD,,contract
"A progressive small residential architecture firm, located in Gravesend by the F subway line, seeks a motivated Autocad drafter. 

Applicant must have minimum of 4 years of experience with strong Autocad skills and knowledge of construction documents. Individual will be working under supervision on a day to day basis. Fluent English is also a requirement as light phone answering will be a part of work as well. 

Familiarity of NYC Department of Buildings filing paperwork is a huge plus!

Please send resume, cover letter, salary requirement and any samples of your previous work in PDF.",Architectural Drafter,https://newyork.craigslist.org/brk/egr/6074459988.html,TBD,Brooklyn,full-time
"Leading New York City based Developing/Architecture company is seeking an experienced structural engineering
drafter. To be considered for this position, candidates must possess experience in residential projects. 

◆ Company Description
We, Six Sigma NYC, are a general contracting firm specializing in contemporary residential,
commercial and interior design projects. We are seeking a candidate with skills in structural drafting. 

◆ Responsibilities
Prepare structural drawings under the instruction of a professional engineer.

◆​ Qualification
Degree from an accredited Bachelors or Masters program in Structural Engineering
Minimun 5+ year professional experience in structural engineering projects
Proficiency in AutoCad, Revit
Microsoft Office
Strong technical aptitude
Excellent drafting skills
Building code familiarity

Please send resume with 2 to 3 samples of your previous work to provided email.",looking for structural design drafter,https://newyork.craigslist.org/mnh/egr/6074571441.html,Commensurate to experience (negotiable),Midtown West,contract
"Seeking an individual w/min 3 years experience.
Must have experience using AutoCAD Architectural Desktop, good communication and writing skills, knowledge of construction drawings & NYC code and zoning. Position requires preparation of construction drawings from preliminary design phase up to completion and filing for approval with the NYC Department of Building.  Position also requires a personal vehicle for site visits.",Jr. Architect - Full Time,https://newyork.craigslist.org/que/egr/6075103923.html,Compensation based upon experience. Feel free to include salary requirement.,Queens,full-time
"For immediate hire a Structural Design Engineer (PE):

-P.E., licensed and registered in the state of New York.
-A minimum of 7+ years experience in the design of shafts and tunnels, with focus on reinforced concrete and steel structures.
-Ability to work independently
-Experience with Finite Element Analysis Software such as STAAD Pro (Bentley) in the modeling and design of tunnels and shafts.
-Good communication and leadership skills.
-Experience drafting in AutoCAD.
-Experience in the application of code requirements and preparation of technical reports,  design calculations.
-Knowledge of the NYC Building Code, 
-Must be able to model and interpret the following: 3D models, shells, plates, stresses, bending moments, axial loads, capacities, and utilizing compression-tension only elements.

Competitive Salary / Excellent Benefits 

About us:

We are an established firm, since 1990, offering services to the Engineering and 
Architecture Communities.
We cater to the top Architectural and Engineering firms in both Industries.
We have a very specialized niche' of services offering various exposures to all aspects of the design.
Extensive growth potential, gaining practical experience in multiple fields and facets of the industries, 
working in an open and energetic environment.

We are constantly moving forward, expanding, looking for people with dedication and expertise in the Engineering and design fields, all levels.

We recognize our people as our most valuable asset and offer: 
Competitive Salary / Excellent Benefits 

NO RECRUITERS",STRUCTURAL ENGINEER PE- TUNNEL EXPERIENCE-IMMEDIATE HIRE,https://newyork.craigslist.org/mnh/egr/6075118269.html,DOE,Queens,full-time
"Interior Design Firm in Manhattan is looking to fill an Architectural Designer/CAD Drafter position. 

Candidate must have a minimum of 3+ years of residential design experience. The ideal candidate must be extremely organized, adept at working on multiple projects at once, and highly self-motivated. They will also be an excellent communicator. 

Qualifications include:
-Degree in Architecture
-Comfortable with all stages of New York DOB filling process; including compiling and filing Construction Sets
-Knowledge of high-rise and wood frame construction
-Experience in producing Construction Documents including detailing and millwork
-Experience working with and speaking with an Expeditor
-Excellent verbal and written communication skills
-Excellent organizational and time management skills
-Extreme proficiency in AutoCAD
-Construction administration experience
-Currently living in the NYC area and eligible to work in the US


Please send a PDF of your resume with a cover letter and work samples, no other types of attachments will be opened or considered.",Intermediate Architectural Designer,https://newyork.craigslist.org/mnh/egr/6075403137.html,Commensurate of Experience,Midtown West,full-time
"Construction company looking for full-time CAD Drafter. Excellent possibility for qualified person from the local area.  Long term candidate wanted. Position will also include pre-construction tasks such as submittals, logistics plans, organizing bid documents, samples, field measuring and material quantifying.  One or two days a week on sites in Manhattan required for site measuring.  We offer 401K plan, health insurance, travel expenses end of year bonus and paid vacation. Please send sample of drafting and salary requirements. We are an equal opportunity employer.",Glen Head Construction Company Seeking Full Time Cad Draftsman,https://newyork.craigslist.org/lgi/egr/6075128973.html,"$45,000 - $55,000",Glen Head,full-time
"Junior designer with construction management experience with a minimum of 2 years working in NYC, required to join a Design Build firm located in Manhattan.

This is a very diverse position, the tasks and responsibility will vary day to day from design, project management, admin to client relations for a residential design and construction company. We have seen extreme growth in the last 12 months and need a great and experienced designer to join the team. We believe in superior service and meticulous quality. We are looking for more than just a great designer, we need someone who wants to be part of the growth and success of the company. THIS POSITION IS NOT FOR SOMEONE WHO IS SIMPLY LOOKING TO COLLECT A PAYCHECK. THIS POSITION IS FOR THE PERSON WHO IS LOOKING TO BE PART OF THE REASON THE COMPANY SUCCEEDS.

MUST BE: Passionate, Extremely Organized, Highly Motivated to Succeed with a Positive Outlook on every challenge they take on, even in their personal life. We believe that the character of each employee represents the company. Looking for someone who can anticipate problems or challenges and is proactive and solution focused.

You will be part of creating beautiful designs, construction documents, product research, product purchasing, and ensure customer satisfaction.
Our office is fast paced, friendly and diverse. Dress code is business casual.
 

Requirements:

Able to manage multiple projects from conception to completion.
Team player who also works well independently.
Positive attitude- can't stress this enough!
Already have some established relationships with NYC vendors.
Good Communication Skills
Self Manageable
Design experience in residential renovations in NYC.

 
RESPONSIBILITIES:
Conceptual renderings and schematic design 
Construction documents
Product Research
Product Purchasing and procurement
Scheduling
Project Management of design and construction phase.
Customer Relations
Office Administrative Tasks

Required Skills

Auto Cad
Microsoft Suite
Illustrator Suite
Revit or Google Sketch-up


How to Apply 

Please email a cover letter (in the email body) and attach PDF resume and portfolio. A link to a portfolio is also acceptable.

For portfolio, please include the following work samples: residential projects including kitchens and baths, renderings, construction documents and finished project images. Commercial project samples are also welcome.

Thank you!",Junior Interior Designer for a Design Build firm (Financial District),https://newyork.craigslist.org/mnh/egr/6075603989.html,DOE,Financial District,full-time
"Job Description:

For immediate Hire: Dynamic HVAC Mechanical Engineer (MEP) / Designers
Licensed is preferred 
RESPONSIBILITIES INCLUDE:
Leading a team
Office and site survey of Existing HVAC systems
Design of HVAC systems for residential, commercial, industrial, and other facilities
Must have a strong knowledge of Construction Documents including drawings, specifications, calculators and details.
Approval of mechanical submittals and aid in RFI responses during construction administation
Assume the Lead HVAC designers role on assigned projects, may serve as project engineer as well. 
Be able to use CAD, 

Qualifications:
7+ years of relevant HVAC design experience
Degree in Engineering
Knowledge of NYC and NYS building code.
Ability to meet strict deadlines
Ability to provide direction and training to less experienced designers


About us:

We are an established firm, since 1990, offering services to the Engineering and 
Architecture Communities.
We cater to the top Architectural and Engineering firms in both Industries.
We have a very specialized niche' of services offering various exposures to all aspects of the design.
Extensive growth potential, gaining practical experience in multiple fields and facets of the industries, 
working in an open and energetic environment.

We are constantly moving forward, expanding, looking for people with dedication and expertise in the Engineering and design fields, all levels.

We recognize our people as our most valuable asset and offer: 

Competitive Salary


NO RECRUITERS",SENIOR LICENCED MECHANICAL(HVAC) ENGINEER NEEDED 7+ YEARS EXPERIENCE,https://newyork.craigslist.org/mnh/egr/6074980893.html,DOE,Manhattan,full-time
"Construction Project Manager

General contractor is looking for a Project Manager who will be responsible for overseeing the day to day construction of a long term project. This person will have full charge of all subcontractors and vendors. Duties include scheduling, RFI's, change orders, invoices, conduct project owner meetings, ensure infection control and jobsite safety guidelines are adhered to.  Day to day contact with Project Owner and Architects. Medical construction experience a plus. 

Requirements:

Bachelor's Degree in related field of study 
5+ years' experience as a Project Manager 
Ability to read blueprints, structural drawings and plan sets 
Advanced understanding of risk management policies and procedures 
Extensive experience managing budgets for large construction projects 
Strong knowledge of construction materials, processes and equipment",Project Manager,https://newyork.craigslist.org/mnh/egr/6075681405.html,"120,000 plus benefits package",New York,full-time
"New Eco Landscapes is hiring a Designer/Project Manager.

We are looking for a driven individual for the role of Designer + Project Manager at our design + build firm. This is a great opportunity for someone with the right experience to drive the aesthetic of a published NYC design firm. You will be overseeing fast-paced projects from design through completion.

Responsibilities:
- Meet with clients and visit sites as necessary.
- Work with sales team to design a feasible project.
- Create presentation packages for clients.
- Create budgets for clients and our teams.
- Present designs to clients and manage follow up needs to close deal.
- Source and order materials, hardware and furniture.
- Create build documents for our in-house construction teams.
- Work with Site Manager to move projects into installation phase.
- Manage multiple on-site construction and garden teams.
- Enforce Quality Control and fix design issues

About us, and the job:
We are a well-rounded landscape design + build firm in Red Hook, Brooklyn, NY. Our work has been published in Architectural Digest, the New York Times, and on Gardenista. Our work can be found on our website, at . You should bring a similar aesthetic. We are focused on designing and building jobs in an eco-friendly manner. Most of our work is custom, so a passion for figuring out details for items like cabinetry, fences, and pergolas is important. We work with a fun, focused, and knowledgeable crew.

Requirements:
- Bachelor in architecture, interior design, or landscape design.
- 3+ years experience in design/project management field. Preferably in the USA.
- Comfortable and knowledgeable commuting in NYC, licensed driver preferred.
- Proficient working knowledge of Sketchup required. Photoshop, illustrator, mac proficiency preferred.
- 1 year experience managing a team of 4 or more people.

Benefits:
- Healthcare after 60 days. (50% covered)
- End of season profit share/bonus based off job productivity.
- 10 days paid vacation / sick.

Please include in your reply to this post:
- Resumé and brief cover letter
- Work Examples including drawings and photos of built work. Attachments or links.

Thank you for taking the time to visit our website and tell us about yourself. We look forward to hearing from you!",Project Manager for Design + Build Landscape Firm,https://newyork.craigslist.org/brk/egr/6075238613.html,Dependent On Experience,Red Hook,full-time
"Engineering Design Company, seeking mechanical engineer with at least 3 years experience, specializing in HVAC and plumbing design. Full knowledge of AUTO CAD a MUST. Competitive salary based on experience. Paid vacation and sick days. Please send you resume.",Seeking mechanical engineer specializing in HVAC and plumbing design.,https://newyork.craigslist.org/brk/egr/6075682150.html,DOE,Brooklyn,full-time
